source,target,path_length
AUO2mm910_g,hMR25OPh3g0,1000
yIrvRFaAW44,Vin9sapwkRU,21
6K3uTUCnBUQ,5F8m3ot0wHE,15
Wkiq5W15xuU,2-iYt_uF2gg,1000
GAL4xXCGzm8,Riad3Q81RQo,25
jR6BaBDVJiA,NifFqnOUrwQ,18
n4_j9M-pDHM,-jOIr6-KTsM,49
XbIswnosaqw,LyYHy-_MQyo,4
v3gTpqMVOVQ,hLkpHCpoHjg,47
97fPb1bA9uc,8t0Otxbvn4Y,1000
S1TphN5R5GY,r43urfOKWXQ,24
f96SXE1R4GM,Vf1aKeaay6Y,4
-wYyRcBVnKo,8e1HU6UoOLU,19
eIMkD7RoTXc,Gg6Z7b9LT8c,12
SWyWKNW75Ss,YgDO2XdXmDA,41
YyjnKUyMOoQ,mTNrV9hndg8,1000
hfFkk3ftKTI,2JzCHBSP2lU,7
inP-uBjdC6c,RNH7_QOEZBQ,6
REhYbh37aG0,YMvDHpW8bBA,1000
eMs-j-khPn0,nQhoWXgdv60,20
AcYJFHP5Gzw,34HSB24eOt8,2
G0smntbxyJ8,W64rXao34nM,4
w0No8OkAakw,7-BPGY32STE,45
apYIELbrqQk,5pFOHZUtfII,34
nN5mx6-U7HE,HwlBWRKfA5g,1000
PWC5OqnTKkE,UFHdB1jVAPw,30
7oBrTdgUPpg,y0DXJaYC9V0,9
YSoJs5ng3aM,t86120TgyaA,51
JvVefXlD_B0,5UBrV2ijHlM,5
gIxBcweuo0Y,Gdf6NzD62Vw,31
xm8R4_WnSlA,sGQ20yDDVzQ,10
ik0AZ6jKRL4,wV7_kywmu5U,5
h9ZBHZps_t0,ncXr0LJ2400,1000
W4cw8X2LwkQ,hHDgynKpUg0,2
KFjK5j5o-0s,PoyIDVldBMY,10
rHIfiOUwGMA,9KLAX46BOUI,1000
qkTSmgvemcU,Q_b17AC5gfE,4
cbmoNeVg40A,ai-iBDu9W1k,20
GtyhLW0Nohk,to0OFnbkAJ0,1000
aU0XWSfxySU,4aBLexz01x4,1000
5lMyc7suUM0,yvFVNSuUK3g,6
8avh6da3xjY,sFql-9SoxkA,6
AQnqijnGMXk,AhcJPLayGKA,39
6aiicbfC378,mOsjzu0l8Dw,1000
m_I2Z_grFB4,RtNI6Ymx4Pc,5
tm_xGhxAA4I,k3va2vWkmsY,1000
zOoIrjn5sJU,dyh4lWiegsQ,35
t-iEgUagZfc,wmHuafu2RKs,40
U5m1DnJNd2s,I5tDDkvXSI8,23
8sDKrJDi4Z8,k3ENOoK7p3c,55
AGHsozyqahY,3e1t88ylR4c,42
DAZ8geUQ0PY,G1465ygw5HU,2
hr23tpWX8lM,jFu7Z-UYZmg,64
7OkwQvSxQg8,PfxIv1APu1k,9
O2LH2cmcHfs,Ay3qLvzWCks,14
2mOvPxUSPJQ,8hTYdHxtPPU,15
dH8Rz1A6twk,vT6sIsKzKLs,1000
tipPl1tYxPI,crXjg2_Bs0k,1000
d0NzHQKlYzI,_CCQ7IiWZBg,3
0xEkY927e3k,CgOPVfDFBIc,36
i5lXGIVApAM,3G8_jzmta90,1000
Rtuic_y4LSk,oK8tVeYAHfI,39
2Gv3DOTp_hU,wEVicZtckQE,1000
6mYmsdZRIR0,FfYu1GAPp3s,4
MfEzT37TBaM,y-BIKjypNsE,20
48fpcYd5h6U,yyaTJXPb9Ok,1000
S7fDPwzeD1s,jM-AahxI2GY,1000
BvbqpNLwBEc,LR06KCbWCiw,21
TSTWqRkBN74,B_fzqbDMcsY,35
qY28v1DuiSw,cFkx16UG-ag,23
L5vHXDXXHyU,90YZydhebtM,25
k9QeR8XcYA0,QXIt-EqALUU,62
4I0gobrUmqQ,1w91ZKAnfCs,33
cT1Kd_fcVlA,PEGl_zN4Ybs,32
p55teiTkNW8,35DcQ2tddGU,45
HKc77ZeK8IY,DbNvLcsGEPk,36
-WmdrNDz20M,gz5XwvF72xI,2
ueMyww1I-Jg,h5zxfIslBpc,1000
oS_1Apqy-sc,f21GysNDFos,1000
FeHHfyjqgPE,y0xNWp_pJxY,1000
S3BZP7FePoE,UwahLnAbAs8,42
IDJy-K1EqDM,yo0j8XSDsrg,34
BaaFYyv_Vt4,Wh_fBjFuH3g,9
tEtl5d5t2yw,P_vUbg5XW2o,9
uqmbV6I9f3Y,97ljvfv1Uj4,41
MvGbi9P3bM4,erFyNuamfTU,52
TKkU37OkAII,Cz3Py60lVVs,42
Vf_HAvtAWdE,_cdRatL3zHI,50
LovtZIhnju4,3YiF-ShTDNw,1000
edZPunaG6kU,RP4WrDcQ3WA,42
-RMg0anuc04,o0GqiNEp3uU,1000
8D7-w9KAqnc,3hovXvuEeNs,1000
IDdQ0i6vpBU,cs2g2qX7L_8,2
OS9kr5_8chI,o5q74x_Idlw,45
4psD5FlJCn8,_1q8me2wdiU,28
ZWG8uKaFyfA,1dQirAqjI-s,38
9oGGxOtLabM,gJQ9mg8qvtI,34
xqsPTvH8w1s,DOHRdGJUdWM,39
9KHIp8fAIGU,SEumGG24g30,1000
BSgAWE8pyuM,et4SjYoDmxQ,38
TMBNwS90D0g,jtzdxseO-gs,27
BycvRfhFYlo,U2crdniIWAI,1000
f_vfo839B3k,8P4YGNOVsDI,31
9B1AWrc0Is0,wCqn43YQD8k,22
CD-K4VAfWfE,I40K-rIl-cI,52
zo1Dat__hu0,1qQo9Vsg8d0,40
fx2F5p9ptXg,_wRBMXATn00,44
E9DustqgVqE,0J_Fq0MbLHg,1000
md_SH7IMGoQ,u9lpviZOdVM,51
rgdByJzLs14,fT5rmQFuYoc,50
2LJmeZgioio,7FcJMH18tA8,31
nMGTh9BAjfo,gJjfTgCtwGY,83
xg_7RY1F05U,jJNRcbjI8oM,43
KsMRFymI4K0,4M79Nu2Vf6Y,49
sWQf7OCwqC4,VTp0XD47-l0,35
aImBDi1EuRQ,XFpsG87TQL4,11
jaggG6FpclU,AG_0fGDDq1w,1000
Yp8odwWBnZk,lH0OLKAXw3I,29
hcJczHicvVY,CPUUdVb8oFI,50
cGFbjfzP4i4,dvWmLKumhKc,7
Dl2roCEKffM,J_6b2gWy7-M,10
Hoykhft3hfw,MBtNJMP9Ssc,9
U1iFE3EqCfQ,C-XuSlYtnNE,22
Sl8VeyQpeGA,lDdHwrMcoQ8,9
dVboAdTF0Dw,xmqUr_Y7-64,9
4PE-VLI8Bns,be4HRuzKOLY,27
x6DCGhM4wbY,Ik0GQFhqiNU,26
uyzUCjACL4c,R1eUXl06vns,65
neEkyar2W-c,Hvzihv8uyBk,39
Oh9PlEa-A_w,rL2zg5HarXY,1000
5lDYAZdtoiE,q0a9qPkYHBg,51
bBs2aX9-EVo,PPl3LJP2Wvo,14
WpKs5yKXWgU,P7GLLj66ALY,15
HyFR1AtJKQo,rRJ-BxW2_-Y,50
tyQvjKqXA0Y,cnc6wD9siHo,31
lVM_C95k2gE,nAXN4uMS4Ak,1000
06bwbG6Kjik,kn8KfTsrmgs,57
5P45utQ9wlQ,ekNgDv3wCLA,53
AKryy-DdnCE,9ow9YDLliy8,59
1GcUJaKKqZc,P20tA3nkcSs,1000
Df0Nl_bf1ZY,oNITgkp3amw,44
uaDVSDduuco,uW3-ZK8BI9k,37
udlA-4eY5bg,AjwFkxexjTo,9
MYcR4bcAWtw,0c9SCac7o00,10
wDTIft9pjz8,Fs-ZGhke84Y,2
GFH5khWo9uA,yY5IdjV1B_g,2
9BUGeuvocac,jiQFa6YlY6c,40
wgGx6c6EOPg,1wdVbxSy9f4,47
GbbUO4gokOY,imDLv5_0POw,1000
tk8p6g_lRkU,UykPJDqllQU,28
diccc7je8tg,bwrD6x64HVw,1000
18AnC3v8a_U,jiS6gtClrqk,1000
etIXH2HE1wQ,NjqclNdySSk,39
QeUQyf8H7vM,I9f7WS3ML2s,1000
CswsqYfJSgE,bqjix2SC3KQ,16
jFuZ0NgVLgY,ueA4JOqNB-s,1000
yRMcNyC2GLY,We9ZHDnd9oE,38
bh48d_3PLvA,pHzhtY88DVg,38
_kfFYuDXRis,qsuU-OZ5CsQ,1000
xkhphKZhtxc,_-QnZYiesRA,4
cUbaCWyxJo0,esbwyJ6gfq8,1000
-41pZhGEBgs,zoe0qxBqaJw,25
ZlJV_ufT76w,h6TEKaS-LC0,51
DnHPcGJNMVQ,CvZR4XcnRS0,35
5zMB_z_dK3I,gN-1eZpvVCM,3
qRAAdTM7OjA,DAeyC_7Ok-o,11
0fjtE8vIR8o,UCnAgsVOXRQ,1000
ofH3k6KUGNs,5Z3oSN24O58,3
LfPY39D3ml8,u_8BenAA8Xk,50
6mroRmha3Fg,UMPL22NBmrI,5
selZzLfjM-A,_Qu4ME3M8X4,6
6JyWXZj48bQ,OeAhzbWLE3A,1000
8A3_D5AhgZA,vu8NKNXZ2xg,45
CQfu2kpK0ho,x49WZRyXGe0,5
mht_qUlIlig,bD21IlqSs7s,26
GmOh1MxDvZY,nKjZ9Wl66RI,1000
HuOhUa5GxA0,Mj3R8_vaxm4,43
MSPb-8XtdzI,qwfbDX7fGq8,1000
syq8NNFi4CU,K3gqB17SIoI,3
P7RsnOZudtM,QKCOu81L7Sw,28
1w5hW5CiQQs,en8_csDZOL0,32
xBLAcAnG1MQ,1w91ZKAnfCs,32
v5taggbAbsU,lhvfZbIWzsE,32
huACDTwE0KY,dpBpVSLEquc,35
y93OWNuqYBg,gWAHErwSOzo,34
ohVn8XWvELE,-nre-_-X7oE,13
o3FIcULUavk,jjEJweQ3FUQ,1000
TKd7rSEP1ZQ,ja6qaA6ItGE,46
v2SRqZKz_6I,i1GobCzlbbM,1000
Joj7egQayRY,n7hrN4wSWlI,53
FWPzxVMQU8g,RdcirRtraKo,39
5pP-Dfs4rFE,sf-1TYNODK0,9
p8BnxLmmtMU,caf51I-MRQY,45
Xa_LvP-e-QE,A9aoZMgU3QY,47
_WLfHeGAP4c,jDikhR_XyDU,5
F8lCmjauyH4,T4bsTD5kl5s,32
a4FWKFn9a90,g1oY2s2v1DY,15
MmC51NvWPZY,rP28bRBta84,1000
PhrE2Jvnzt4,q8kN5TohRqI,24
kuLPoGsGJXM,DXimdIjCoIg,56
rK9OXLzCsR0,ZRN9dN2z3FE,12
jTHhhIcHGxw,NSkY0NyN1zw,47
9Fr2w2c2Fp8,TZacb9Towkk,9
0_oi6Th3tv8,Y7nslzbmoCY,1000
uL1X47mztAo,DeRi8onDamM,8
KRbMbS3qa14,jbv4wyF6zmg,26
4Ghued9-mRM,AmPs8xUuRuk,1000
iGrFI5SjGCU,cl6j5FKT51s,9
K38S6e-El20,XF0cz7uiS_A,12
8Y5oT6Rdjmw,ykEKhSJhheU,28
L62KHMsPIxA,2wBxnICduug,41
ciXi1d4Oi1M,u57sI_oY1z4,47
pHFC6rlGsH8,K3iCt7Mo-ok,6
m5pRcZpWOMQ,4CkVp8WYVcU,49
ZtIkb2xeH10,jslwmlFMvSI,5
nIAdmlQh0Js,uZrVoUDu5JI,50
xBg3Q40cXSg,oE2lsEWMLHE,1000
5Z3oSN24O58,4v83cBXE5_E,43
IFU2bnapWtY,NMZ-mfUG1uY,5
Nn1RpQuGHaI,sIR-iPG5AhI,10
lvQVUvE_t1Q,7zWlDbN3EFE,49
Q0D9RR3LSJE,IlwB4jyq5Tw,8
ylVQKPAnC5I,FLHnb_floA4,42
0zjazUDV63M,i3CeyrjC6XM,5
7xdEtewKEUI,Ro6cv9ZnuUw,10
JqrYCrDspgE,0rljz6SqpMA,16
uIM4AZLMtbw,wgXXkoZllug,63
dRb6Lwgyk18,EHNrCcsemsw,1000
qO6NTsgBANY,Bg0D3cDyj10,44
_NwCteJyUPg,LU7N1SMM0ro,13
emHhnW4rSuM,7oBrTdgUPpg,9
HVCdrGigLb4,Pu13ep1yydA,1000
ymF3GG64cvo,iyT_E_6PtP0,8
wN4xCUFTyWM,FdTRvXZOioo,24
PwyL5l-_UJQ,-jBqpRYpfTY,45
BT6dVdekDzo,YvBs3-y14Jo,20
JLwEktLK3Yk,yX20X6Vbui8,15
Z6cB2u3X6zc,eYSpWXozL50,11
Zxc-F20qcx0,k_p3vN8Ksuk,1000
myah1PKPU1A,5l3iLBx8YyU,64
VHT22UnXHso,m_7JO7dNR4Y,48
F8ms3gWCCtQ,YLZegwm1Bcg,37
EPnlS-C_7IE,NBXCWPKvRow,40
nnhb6skyxGU,22UN6Z1lbVs,40
hP-aW2aZgUg,YOhLpZ43QQA,1000
NZXXKAQmP7g,5mvY2qHT8cA,10
LKapJLfRECg,gzTIUfvLKc0,29
IekXybapCTo,AeBK05sXluc,30
EL3bS5Ul3Hw,vWmNVz5cZ6k,1000
IK8G3qz7EJk,M5M-bjI7LFw,37
ljNn7ktApTQ,e1VbfmOBNgQ,1000
8JWvlueYrQU,FciZsGvu6V4,7
fU9bTWW_XZY,n59WydF0MEI,3
fvaLyyr3k6c,68Zz-qkpwwE,19
8caDPKc-Vg4,L6y3con8fm8,4
6ril_ivDLms,MDms6faiecY,35
nxTxctXZWGo,QshWdSLhXLw,1000
vUgG7Gocb9Y,hureBzn8wuM,55
VSqnhaSWxfw,8sIV__4bl2Q,1000
8-i9HNvLgKs,4PynV-3-lBI,1000
I0EqXuy66i0,QvBMP2XeWMI,44
-kR-6dxaexo,SfI22JfvxqU,1000
odxKeW3vJog,LkQZputZb5w,8
zLrlQkATETQ,kWAqL8qzLu4,20
NQvIJ5fKjd8,6I2u7B7wWaw,1000
Hy80eBYGHs8,QFB40VVVD4M,13
YtFQ_e3ESNM,6_Hs555AOXc,28
POSzY1oIySM,UhPl7zrO7m0,52
ORJ90v40J2c,FA-_SSO_hhI,49
w2KJqan5AUU,rkPVmJEnfDA,1000
6gpGYR7YlZY,lKtQva4Bo4o,5
NiJAUbrz6Lk,LjFFUam9UXc,48
Hi3kCpF8xjY,fD06SejaqIg,42
u4MdyJDnSoI,fc0CnyJ8sg4,20
8u9ljwytklI,mx23oL9aub4,2
DJKg3FLwHpE,yDVPxlfNePI,1000
34RGjnTIi7w,0ZWOned8TgA,5
_JKm29d_fNM,eJqkb7e8uWI,2
H5bXoEzV5h0,bK6ixCfkwjs,7
ZvZ7AYX4bao,9G2erGJ_9CE,34
XlriIns1MWE,IIH7QCJuMrE,1000
29oiCSnqDLg,C7Ojq7AbKg4,31
uAb_pV61xjw,-zdflLok42w,18
JlH8OsalO-M,af4gt1jS4X8,1000
ZKj2LqEjvwM,--o-iggfvuk,40
zby0NdFGSPY,PEA23FqgS6w,32
WXc8N25SLFQ,RUiO7gxRH5s,37
D2AiVFx4JC4,fVt3TOA9W6U,1000
572_H5wRROI,gwTLFJFRW0Q,8
Yytr68RqbKQ,FO5Q2bWXkyo,11
vThQX_jqf5k,NoMb6Zad4hs,1000
jIoMri-9Rjc,SbRM6Apmv7M,55
F-x_oA96NlI,GJPtiB1F8J4,21
hOR3yFtFHyY,O_JaVfJAS4g,8
6baWgE7WVjA,OrYtM6WBtFg,1000
q6WwuxqXPOg,JauaEO5CFmw,66
mI5FXs7vL14,1HHxMAy7210,4
p4c9KbPOGRo,gFsV3Ivg87I,23
D1_zU5WCyDc,6gY1mkB2Oh0,4
a9KDmJQjS_0,wkug7uyxOW8,64
DJezsRlnxss,AxRjJHK4ZQk,1000
NLCQMDYJmWw,-pj6Oi9gsLU,26
FWPzxVMQU8g,V5hRNt1E10U,2
EGHoPrUR3Xg,iGarl-8GPuE,22
_MP72YDR2H0,Fpjr51EEbXE,43
F3ErBK6zYIw,auueuhld5Ss,48
qoEiCeQGmLk,VJNM5VPj37I,63
4R6pbguCvSU,D24JEKDR1OI,20
TU6ymvGAX1k,elnF2TV5UQk,3
qwPOf7-WNRc,VsmJeWR-9II,41
mME8ZBZ-YxI,vn67odyss38,6
3HjIljJd-o0,V6AZNDns4z0,13
b8ax9yfv078,u7X8dli075M,48
5-2Stt764P0,D9TLpRtH_Os,8
vqhRPGLjEt0,vlp4Jmgo6G4,1000
JXgEt0jZB6w,pIrmAyCNwQ4,56
SoUyuBl8VeE,N30aU82Yho8,1000
iyHAoY8YpbE,lgIppnvvPfE,31
SEIX5MUR4xc,D5XqbDJdFBI,39
MVlu_iw3Tdw,jm9-q5A_XJc,37
hVK4Poz5NZk,Ya9CZfSfkKE,12
ZoKQXiCco0U,MJCVTHURGBc,1000
dhemPrtuZo0,Js7dkeTgrN4,6
tbnprR25Uug,1cU8CJQj3gI,12
tIDwoKKMo1g,2E_HM4tvh0I,1000
YuJKazC67RA,2OtBk96QgCE,40
eeiVDDGxoLM,EC9qDFXbtVM,31
i3i10ckBePI,0uQZG-oEiV0,30
zvCYbDBH59w,dc7tGT_h7PA,1000
ftQL9RXLatI,K-x1NfQRSSA,3
DnqJLEgUf5s,lwpAhu6B3GU,1000
QkPFc54NKlw,_rGm1wfiLrE,23
seJ3zx3dFFs,rTQiUfO2P8k,43
kQ16_iUehhM,88NOmUSS1bU,45
x_iK_POO1pA,oRxF8UcNZaE,48
jyLRJgtC8bw,V1UPaOZshG0,49
Au3Kqtjd85o,F90gDjOhKEA,1000
wwmr25dMKyA,gubOw70PXpA,3
yvhKIXT5OQk,TYcWXVo4VKA,56
yTrG2OETxD0,Jm3p0JHRMD8,1000
trdzhl-6MgI,6pq7_zHP_fA,49
Ps0xGm-Yfp0,caf51I-MRQY,46
iWQx_v2jImQ,dIUCEYL6cE0,11
sRliPGTv1bc,vrTZAVtXFJs,1000
gwE9qH0HTIc,GUqkNSK0J8Q,3
ggf7kk2H6mM,dseWmortXkI,39
l_fKkGJktNQ,PrhN17Iv_jA,6
WIYpIO3E_78,UnPmGvvMqMs,27
leQYLJ7b2ao,JxApHzb1gjU,32
Lnio-pqLPgg,cGFbjfzP4i4,12
AwhlM5uKufg,xr1x3V7_bXc,16
BvJYezckT6g,Klw52tQNuP0,42
rscIVzEzaAc,wNArQrKo7IE,21
9C6uMYGUlL0,yHCgz2MA49o,3
XVAZXRZtf6Y,ATKw8tfPlUI,22
3aSzt_2S3sk,BVV_83o1dCM,45
oeds3BNvnJE,lSiQA6KKyJo,7
WDC5zIednh8,-rPcvGocdEk,42
imDoevnryqU,X-JKvesYuRk,5
evm3IZgCgPw,k2aeIGXLX6Y,2
sW77b_dg2-o,SIVxZkTTFko,1000
Mwr3DRTjOqc,vMGfIE_vxao,1000
8LRtcgcbetw,3e1t88ylR4c,41
IgbeGwuYK9Y,YFni47VMkB4,13
v-v6QI3weUs,8CdxVXmtVlI,25
P5WlyJtFl8M,yDC0cIYdy4I,2
CqfUnvv6Uf4,Z-luMyAE0N0,3
nFHlPLHkXZM,L71UPNyuqYA,57
q_GuOevcN7I,FHQNCdXnZ0Q,3
s0CyGFTVrBw,gTJyUkbCskA,1000
jjKnZBm5cS8,iF6HL8R_SmQ,4
JlH8OsalO-M,FoOBr2DLaOY,1000
tpZ3Q-Mu6xQ,YgwjSnNKoCk,25
Krs8EfReFJ0,TZQGpIu8NkQ,8
3KKDs6YdBNM,JOkzSdEzuwI,17
UWurA4LDD5s,BdFfqyE-q0Q,29
RXTACtBSY1U,drgBi_h_HYo,1000
bFVsSowgm9I,ue5KoTUQ9u0,20
y3RA8mIWZZg,oDYbbO-hjCs,40
0QPxzJ5ygig,pWghnFG85Ns,1000
jKy2egxeNuc,PJUCKXtEDUw,1000
bdpucXyZNCM,CmH149mNFLs,31
-XbnWy-UXeg,WYBzKFm-rd0,5
l6m39Rz3mvE,DDKztvgDvfg,1000
IRfVffI88P8,f6-PvAhRJF8,34
ER4sFDz9Drw,iqRHr5pEIFU,13
zX8sAXpJ714,vsJ20NcV9to,48
mJVYXs8108c,o2tL7hrOfxo,55
Ns2DvcfLr6w,duLQmTpPD3s,5
GWBNcnSaWmc,hDx0pNT49tQ,1000
dAiaqG9g4VU,7aO3TO5L0bM,11
rNfoeY7F6ig,GFNefwi011w,32
J7HBGAroc8k,WZnQoPvOh9E,24
nIAdmlQh0Js,P03cqtB3CfA,49
Ble9N2kDiGc,uHL2NbAjaUM,36
yRnN63eODxw,8-DULrc_fFE,15
7PNG5AD05pU,uO2kj6_D8B4,3
AtF1QRUiXP8,L2olKTYcW_E,1000
sIFsYOIz1E8,x-iFnffKUis,47
SrgFHrIlKcw,TvVE0k5Xm54,1000
wddL90m9Png,fOjAPQZrTtM,8
xjp97VJGx-c,pEBUDgPiPl8,41
o1hDjJz3coo,iWvkTFEtjco,54
hGl341hua1E,-vIN-5HpXIQ,35
dGM3k_4cNhE,j72VLPwzd_c,12
kFhQM7R4yjM,lK06OnuNfW8,10
x6YaqtQ8CwU,DvWfoecgJ4Q,15
i_kJPxhOd8U,r_2E1_40wQU,40
Z_I6wH5ym7A,IGg0P5_kI74,1000
2V4Jzs-R3sk,S-X-82D9_2M,19
1XMz8h2l9fU,eDA1dyOdTwU,2
yHCgz2MA49o,JbRxsOZ9CS4,20
0uzpJKnleAc,JMU3Aio1zow,20
AFVWlTVUcck,2_oISnoSQ-A,1000
acxXdC61r68,MEErjc5otsM,2
bTvv30ffB5I,-pCqYSde8RM,4
sjqE7qLRn5k,1BaiSeh0F0Q,18
5hUXTonNZ4M,bMSXqZStqDY,1000
glMfsJ4V-Ag,PwIluSb5524,4
